measure,n,sd,iqr,p10_p90,delta_coef,delta_minmax_pct,delta_per_sd_pct,delta_per_iqr_pct,es_last_coef,es_last_minmax_pct,es_last_per_sd_pct,es_last_per_iqr_pct
anthropic_usage_score,1197,0.15262112755442087,0.048414051658217716,0.11215971567478192,-0.35683832986468705,-30.011436080544087,-5.300462368072479,-1.7127615097872861,-0.417645523064795,-34.14043559824083,-6.175252358999028,-2.001686037370509
ai_product_exposure_score,1197,0.22735778788472708,0.2967425481036371,0.5794299314459618,-0.1520805768249148,-14.108093101870834,-3.3985759854812447,-4.412562157314359,-0.2081523978092018,-18.79167324297616,-4.622269596446127,-5.9898727594614565
beta_eloundou,1197,0.24072041090686877,0.34700821052494135,0.637589648977797,-0.017983876228009305,-1.7823131373485568,-0.4319729089449664,-0.6221120901881316,-0.09503079194323744,-9.065506646044463,-2.261618281397959,-3.243866917815008
felten_exposure_score,1197,0.28186414482632516,0.5062948315710001,0.7666593173103647,0.11719710723157366,12.43410235974447,3.3585331624718107,6.113202848066468,-0.03438961301189761,-3.3805010845201044,-0.9646371235717544,-1.7260582831332694
webb_exposure_score,1197,0.2021476340569939,0.26722405355613166,0.5159377748577363,0.07223890827473659,7.491211878958248,1.4710067996393628,1.9491500322498245,0.2861987813347419,33.13570778873607,5.956071934396601,7.947973527470054
