measure,n,sd,iqr,p10_p90,delta_coef,delta_minmax_pct,delta_per_sd_pct,delta_per_iqr_pct,es_last_coef,es_last_minmax_pct,es_last_per_sd_pct,es_last_per_iqr_pct
anthropic_usage_score,2785,0.14787585589955723,0.05164133863213548,0.1605332792778636,-0.3386324415524291,-28.725562383409354,-4.884244970512775,-1.733541485989809,-0.8850278064209105,-58.729730266541516,-12.26719035979026,-4.467532327355272
ai_product_exposure_score,2788,0.20435518873080882,0.2757456694755298,0.5644152276927397,-0.21097820044648163,-19.02082802132029,-4.219827490170491,-5.651642709145655,-0.6181896385853396,-46.108080648824526,-11.86762674947176,-15.672580741269392
beta_eloundou,2785,0.24468694153195147,0.39604619053985046,0.636003233196908,-0.2885568706040721,-25.065581172095463,-6.817113101598027,-10.799349101185818,-0.7572841209677668,-53.106172123089735,-16.914296233453285,-25.9122134579988
felten_exposure_score,2785,0.2921341224304674,0.5391548643537993,0.7720705229629321,-0.21228149046840414,-19.12629862382267,-6.013089830077334,-10.814578708729371,-0.6079967676408584,-45.55595819366647,-16.273663306936704,-27.94960741594503
webb_exposure_score,2776,0.23674007175920236,0.3664715066354411,0.6470449042628169,-0.20473238820221748,-18.513464518215816,-4.7312518400538845,-7.228303447418605,-0.10072750147106464,-9.582061312839352,-2.3564161032402553,-3.624075288919615
