idcountry,anzsco_4digit,anzsco_title,runup_from_2019,runup_from_2020
ACT,1111,Chief Executives and Managing Directors,0.09929816993258322,0.46306254281522197
ACT,1112,General Managers,0.3096895879137418,0.5142461016699489
ACT,1211,Aquaculture Farmers,0,0
ACT,1212,Crop Farmers,0.260282743533778,0.28768144745158564
ACT,1213,Livestock Farmers,0.24512224064165702,0.16508030219918565
ACT,1214,Mixed Crop and Livestock Farmers,0.19189120011781619,0.0487911641699319
ACT,1311,Advertising and Sales Managers,0.045152031973136,0.40213388659497085
ACT,1321,Corporate Services Managers,0.27954711760615103,0.5053950050886513
ACT,1322,Finance Managers,0.10114998042673395,0.3854143611929546
ACT,1323,Human Resource Managers,0.5603123605693843,0.8660426178985223
ACT,1324,Policy and Planning Managers,0.8435492119718466,0.7767055122001318
ACT,1325,Research and Development Managers,0.8765867867504771,0.6282597922012483
ACT,1331,Construction Managers,0.362520966129229,0.47514794796562576
ACT,1332,Engineering Managers,0.8150369571853746,0.6688542470073131
ACT,1333,"Importers, Exporters and Wholesalers",0.23638891841519122,0.4595318030625122
ACT,1334,Manufacturers,0,-0.22314355131420976
ACT,1335,Production Managers,0.6304089299240214,0.517355995550242
ACT,1336,"Supply, Distribution and Procurement Managers",0.49986663632347117,0.4917254778560536
ACT,1341,Child Care Centre Managers,0.06713943947183232,0.17327179235160783
ACT,1342,Health and Welfare Services Managers,0.14934519253649325,0.2369671707512735
ACT,1343,School Principals,0.3978614976195053,0.5985317385360985
ACT,1344,Other Education Managers,0.842182871808355,1.1394341562652919
ACT,1351,ICT Managers,0.34202540330763176,0.26209805230126015
ACT,1399,Other Specialist Managers,0.2736958088085686,0.5213540171272442
ACT,1411,Cafe and Restaurant Managers,-0.07384730339725287,0.2974621141491198
ACT,1412,Caravan Park and Camping Ground Managers,0,0
ACT,1413,Hotel and Motel Managers,0.4418327522790393,0.9135473829147152
ACT,1414,Licensed Club Managers,-0.09352540675029863,0.11411338110482949
ACT,1419,Other Accommodation and Hospitality Managers,0.3946541394092855,-0.02150599014233301
ACT,1421,Retail Managers,0.15287985093831225,0.5590621835058238
ACT,1491,"Amusement, Fitness and Sports Centre Managers",0.477726004051654,0.4547360259960873
ACT,1492,Call or Contact Centre and Customer Service Managers,0.5554388045114012,0.34995698599664893
ACT,1493,Conference and Event Organisers,0.4811107972768718,1.0098398398504846
ACT,1494,Transport Services Managers,0.09909048597765091,0.36842401824601345
ACT,1499,"Other Hospitality, Retail and Service Managers",0.25919010943204146,0.5811612941221451
ACT,2111,"Actors, Dancers and Other Entertainers",0.353085434315092,0.4309588759565255
ACT,2112,Music Professionals,-0.37605129103945667,0.19105475621352122
ACT,2113,Photographers,0.13534116625177284,0.1950611434282643
ACT,2114,Visual Arts and Crafts Professionals,0,0
ACT,2121,"Artistic Directors, and Media Producers and Presenters",0.0674399916134108,-0.14165279352001153
ACT,2122,"Authors, and Book and Script Editors",0.5443013401964454,0.21494698819168478
ACT,2123,"Film, Television, Radio and Stage Directors",0.49247612146149655,0.189010679172948
ACT,2124,Journalists and Other Writers,0.22920923431219187,0.1472266797099171
ACT,2211,Accountants,-0.08864278665006609,0.17826047733192585
ACT,2212,"Auditors, Company Secretaries and Corporate Treasurers",0.12279944186190495,0.7700477794176357
ACT,2221,Financial Brokers,0.3724041428548608,0.1890670044395264
ACT,2222,Financial Dealers,0.25995650222334676,0.46759568671328683
ACT,2223,Financial Investment Advisers and Managers,0.25654183171605727,0.35389814587910307
ACT,2231,Human Resource Professionals,0.35059152425053863,0.5901008843737268
ACT,2232,ICT Trainers,-0.5198760489665927,0.0229892962373075
ACT,2233,Training and Development Professionals,0.4429860277075943,0.44460282677941043
ACT,2241,"Actuaries, Mathematicians and Statisticians",0.048201972551380035,0.2580600355903375
ACT,2242,"Archivists, Curators and Records Managers",0.5539357286833122,0.8729401344988312
ACT,2243,Economists,0.7298792226155599,1.0381805822700765
ACT,2244,Intelligence and Policy Analysts,0.27306540967982507,0.3066055271974122
ACT,2245,Land Economists and Valuers,0.17384678302143053,0.3486021013403442
ACT,2246,Librarians,0.35667529458811265,0.5108254874023761
ACT,2247,Management and Organisation Analysts,0.32443160972180873,0.4775924884347398
ACT,2249,Other Information and Organisation Professionals,0.5154660263360578,0.4868107148996894
ACT,2251,Advertising and Marketing Professionals,0.36572478873508807,0.6295743403104499
ACT,2252,ICT Sales Professionals,0.6562423228725696,0.2363884773123055
ACT,2253,Public Relations Professionals,0.39250832186374396,0.6870613776200836
ACT,2254,Technical Sales Representatives,-0.3048606409735526,0.2023223558138707
ACT,2311,Air Transport Professionals,0.1466030973976452,0.1868773966797561
ACT,2312,Marine Transport Professionals,-0.07755702827889976,0.342944003326644
ACT,2321,Architects and Landscape Architects,-0.19192633224638556,-0.3206784038689312
ACT,2322,Surveyors and Spatial Scientists,0.4317821904515313,0.46844641631687955
ACT,2323,"Fashion, Industrial and Jewellery Designers",0.6205764264347793,0.4054650274629932
ACT,2324,"Graphic and Web Designers, and Illustrators",0.21029539342917092,0.12236247949089663
ACT,2325,Interior Designers,-2.220446049250313e-16,0.40741262601015693
ACT,2326,Urban and Regional Planners,0.011976430576262631,0.3364725223355054
ACT,2331,Chemical and Materials Engineers,0.07232003367182437,-0.15082471764286542
ACT,2332,Civil Engineering Professionals,-0.06548249272146478,0.4361547047086938
ACT,2333,Electrical Engineers,-0.07382021759950796,-0.03174873989724403
ACT,2334,Electronics Engineers,-0.1761865385863588,-0.15283917822352833
ACT,2335,"Industrial, Mechanical and Production Engineers",0.08099200054219402,0.19415620554966262
ACT,2336,Mining Engineers,0.6099966849372184,0.5283188917200996
ACT,2339,Other Engineering Professionals,0.12866219993593475,0.4568784456456414
ACT,2341,Agricultural and Forestry Scientists,1.0549381729679257,1.1075814074925894
ACT,2342,"Chemists, and Food and Wine Scientists",1.1039312375197095,1.3072719474201324
ACT,2343,Environmental Scientists,0.33463883559130836,0.42866777259964417
ACT,2344,Geologists and Geophysicists,0.09531017980432488,-0.029852669031990908
ACT,2345,Life Scientists,0.6836082503267353,0.4329969385950858
ACT,2346,Medical Laboratory Scientists,0.5166909483267421,0.7379979700473593
ACT,2347,Veterinarians,1.6897621865704964,1.3026443989470575
ACT,2349,Other Natural and Physical Science Professionals,-0.5413408629124411,-0.4468501834259583
ACT,2411,Early Childhood (Pre-primary School) Teachers,0.44615931043370294,0.27257294071878
ACT,2412,Primary School Teachers,0.43606578781857075,0.38244436403312343
ACT,2413,Middle School Teachers (Aus) / Intermediate School Teachers (NZ),0,-0.12675054733700172
ACT,2414,Secondary School Teachers,0.6315262320672475,0.8388592447323713
ACT,2415,Special Education Teachers,0.3610149265640925,0.4054662444708969
ACT,2421,University Lecturers and Tutors,0.4846192153523652,1.091525072861676
ACT,2422,Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),0.38711761253835214,0.4432065756923782
ACT,2491,Education Advisers and Reviewers,0.22631385543060334,0.30900475025760027
ACT,2492,Private Tutors and Teachers,-0.110665674270504,0.1365751847203569
ACT,2493,Teachers of English to Speakers of Other Languages,0.02739870391780766,0.02739870391780766
ACT,2511,Nutrition Professionals,0.6174348461839885,0.01129978124984754
ACT,2512,Medical Imaging Professionals,0.028462258372578653,0.7348200153669668
ACT,2513,Occupational and Environmental Health Professionals,0.30580961448555577,0.4930211766597874
ACT,2514,Optometrists and Orthoptists,0.5837128915304203,0.9128947692998524
ACT,2515,Pharmacists,-0.03971926547051163,0.23046362079396765
ACT,2519,Other Health Diagnostic and Promotion Professionals,0.3340065400389592,0.3513991538942831
ACT,2521,Chiropractors and Osteopaths,0.07755792380182258,0.09381827809511367
ACT,2522,Complementary Health Therapists,-0.47000386001490413,-0.030304150872521696
ACT,2523,Dental Practitioners,0.0834810607099774,0.032560970282720536
ACT,2524,Occupational Therapists,-0.14258982038490275,0.016417538564167167
ACT,2525,Physiotherapists,0.21834744847471566,0.2413369191307022
ACT,2526,Podiatrists,-0.011975709119120825,0.34981433548638186
ACT,2527,Audiologists and Speech Pathologists/Therapists,0.48007031956818347,0.17813005288006334
ACT,2531,General Practitioners and Resident Medical Officers,0.4703997344196664,0.525788516617836
ACT,2532,Anaesthetists,0.07232003367182437,-0.38193623860627196
ACT,2533,Specialist Physicians,0.678758370644075,0.3733767210928933
ACT,2534,Psychiatrists,0.36876451039158,-0.11466256486216908
ACT,2535,Surgeons,0.2942394110784008,0.12516388805276107
ACT,2539,Other Medical Practitioners,-0.1780750964209925,-0.08134554808743832
ACT,2541,Midwives,0.7992540035934566,0.6156894135297728
ACT,2542,Nurse Educators and Researchers,0.5648925545879349,0.6757554015504321
ACT,2543,Nurse Managers,0.3342888678082092,0.5460470115595437
ACT,2544,Registered Nurses,0.5573803656284557,0.6357456532458547
ACT,2611,ICT Business and Systems Analysts,0.1698839416744855,0.22871345481378214
ACT,2612,Multimedia Specialists and Web Developers,-0.3511245632954658,-0.21944677077769636
ACT,2613,Software and Applications Programmers,0.1368557367253116,0.08432914448242457
ACT,2621,"Database and Systems Administrators, and ICT Security Specialists",0.2291440262904958,0.08246164107076304
ACT,2631,Computer Network Professionals,0.2450218455632509,0.3853855057255604
ACT,2632,ICT Support and Test Engineers,0.16634842032509578,0.11921436195566226
ACT,2633,Telecommunications Engineering Professionals,0.44382564499006083,0.689568965970929
ACT,2711,Barristers,-0.23440081566703497,0.09909234132423966
ACT,2713,Solicitors,0.3031781174062824,0.6376407103208206
ACT,2721,Counsellors,0.25053307445272344,0.22451247347815428
ACT,2722,Ministers of Religion,-0.1726134902813623,-1.3043481096319809e-6
ACT,2723,Psychologists,-0.11286477018906194,-0.0964901940880103
ACT,2724,Social Professionals,0.18187812074834664,0.022422475896489047
ACT,2725,Social Workers,0.4103821123772189,0.3144000393969213
ACT,2726,"Welfare, Recreation and Community Arts Workers",0.34105483321326213,0.2935610135981279
ACT,3111,Agricultural Technicians,0.05826953076591407,-0.018691954815004297
ACT,3112,Medical Technicians,0.1561606503208699,0.4714504730448137
ACT,3113,Primary Products Inspectors,-0.044450695376103494,-0.12783402605542274
ACT,3114,Science Technicians,0.27155243149755637,0.3636675140896599
ACT,3121,"Architectural, Building and Surveying Technicians",0.2797912712959527,0.5638523982654524
ACT,3122,Civil Engineering Draftspersons and Technicians,-0.18632953843245414,0.7944996145792672
ACT,3123,Electrical Engineering Draftspersons and Technicians,0.28240554166686516,0.6773989798418184
ACT,3124,Electronic Engineering Draftspersons and Technicians,0.24419706689502674,0.49703202766108967
ACT,3125,Mechanical Engineering Draftspersons and Technicians,-0.19671072902875752,0.17366426616541686
ACT,3126,Safety Inspectors,0.6931467393835071,0.5559456555774023
ACT,3129,Other Building and Engineering Technicians,-0.3047764756143181,0.1708926122765564
ACT,3131,ICT Support Technicians,0.3273334406969992,0.3265932445108346
ACT,3132,Telecommunications Technical Specialists,0.040821994520255034,-0.03922071315328157
ACT,3211,Automotive Electricians,0.4578334162061778,0.5245244681241528
ACT,3212,Motor Mechanics,0.2631059606274557,0.5416126931425
ACT,3221,"Metal Casting, Forging and Finishing Trades Workers",0.15415139411271747,0.0741094556702461
ACT,3222,Sheetmetal Trades Workers,0.5151641121799484,0.7328878119472981
ACT,3223,Structural Steel and Welding Trades Workers,-0.051959802221848594,-0.03278988733911792
ACT,3231,Aircraft Maintenance Engineers,1.2992836135011763,1.0916434794918668
ACT,3232,Metal Fitters and Machinists,-0.08112567834080897,0.2593951928185363
ACT,3233,Precision Metal Trades Workers,0.3846746745734879,0.1941562485345436
ACT,3234,Toolmakers and Engineering Patternmakers,-0.2876810010234009,-0.023530248240905827
ACT,3241,Panelbeaters,0.7731900918534302,0.3875273169237552
ACT,3242,Vehicle Body Builders and Trimmers,-0.08004193844247137,-0.08004193844247137
ACT,3243,Vehicle Painters,0.19105619786115147,6.521738422637924e-7
ACT,3311,Bricklayers and Stonemasons,-0.08004263075045626,0.17237201802030833
ACT,3312,Carpenters and Joiners,0.44620785196655444,0.5482735442262254
ACT,3321,Floor Finishers,0.25671995729424923,-0.12405302602854062
ACT,3322,Painting Trades Workers,0.5892162862218282,0.6511831898757927
ACT,3331,Glaziers,0.3231292230477354,0.37605173880061715
ACT,3332,Plasterers,0.03774032798284688,0.23556669631296223
ACT,3333,Roof Tilers,0.8362480901346677,0.4054657509653301
ACT,3334,Wall and Floor Tilers,0.541916312876833,0.3802753344548149
ACT,3341,Plumbers,0.09574921384955548,0.29031939271970897
ACT,3411,Electricians,-0.06269861702999346,0.16807065307740343
ACT,3421,Airconditioning and Refrigeration Mechanics,0.06453871370514097,0.2180889071288492
ACT,3422,Electrical Distribution Trades Workers,0.37538683353267466,0.22123682037186088
ACT,3423,Electronics Trades Workers,-0.5263667263015535,0.015174828139716379
ACT,3424,Telecommunications Trades Workers,-0.0067798234994624895,-0.16285926960416264
ACT,3511,Bakers and Pastrycooks,0.6078626455637945,0.6116721356674002
ACT,3512,Butchers and Smallgoods Makers,0.46012395813108975,0.3536399499792562
ACT,3513,Chefs,0.08865932049363812,0.22995889913727163
ACT,3514,Cooks,0.3808105621448479,0.5361034865508838
ACT,3611,Animal Attendants and Trainers,0.6564459071674571,0.5217891007613604
ACT,3612,Shearers,0,0
ACT,3613,Veterinary Nurses,0.851049890668117,0.9622760830538919
ACT,3621,Florists,0.3566760459798411,0.07410856556032186
ACT,3622,Gardeners,0.1366729816959853,0.05962719840553188
ACT,3623,Greenkeepers,0.3282967191057937,0.09381898276840883
ACT,3624,Nurserypersons,-0.04317174311621563,-0.12429730987847099
ACT,3911,Hairdressers,0.5103888515485306,0.3200934068505763
ACT,3921,"Binders, Finishers and Screen Printers",0.08004193844247137,0
ACT,3922,Graphic Pre-press Trades Workers,0.2876819162017688,0.11583218559103747
ACT,3923,Printers,0.14458161342641823,0.2876832262981566
ACT,3931,Canvas and Leather Goods Makers,0.22314355131420976,0.22314355131420976
ACT,3932,Clothing Trades Workers,0,0
ACT,3933,Upholsterers,-0.05264323452466371,-0.05264323452466371
ACT,3941,Cabinetmakers,0.1445811189209918,0.09806110328609918
ACT,3942,Wood Machinists and Other Wood Trades Workers,0.27625485781996695,0.09015181918038612
ACT,3991,Boat Builders and Shipwrights,0,0
ACT,3992,"Chemical, Gas, Petroleum and Power Generation Plant Operators",-7.317079415980476e-7,-0.07061901399959347
ACT,3993,"Gallery, Library and Museum Technicians",0.17934068878363413,0.21570742025618678
ACT,3994,Jewellers,0.07550737068994678,0.4238140649581626
ACT,3995,Performing Arts Technicians,0.6931471805599452,0.4131871917691534
ACT,3996,Signwriters,0.1431016128717384,0.22314355131420976
ACT,3999,Other Miscellaneous Technicians and Trades Workers,0.8883068113810526,0.8143004487395573
ACT,4111,Ambulance Officers and Paramedics,0.06385147878385977,0.052921863579039385
ACT,4112,"Dental Hygienists, Technicians and Therapists",0.5745414586199373,0.6784410680445447
ACT,4113,Diversional Therapists,-0.3364724815191772,0.10536084899126286
ACT,4114,Enrolled and Mothercraft Nurses,0.4473758480817902,0.718337327347693
ACT,4115,Indigenous Health Workers,0.3983489898838985,0.3566748214897953
ACT,4116,Massage Therapists,0.3156383194726041,0.18081930284919845
ACT,4117,Welfare Support Workers,0.22692290630993384,0.1847937459393436
ACT,4211,Child Carers,0.16907633462926075,0.43975858584240957
ACT,4221,Education Aides,0.21658614324925374,0.6304901200032829
ACT,4231,Aged and Disabled Carers,0.368756766803676,0.38151492114127095
