sample,control_set,n_obs,exposure,control,coef,p
aus_l4,runup_from_2020,1197,felten_exposure_score,runup_from_2020,-0.27636198779041277,0.0023781671650173375
aus_l4,runup_from_2020,1197,webb_exposure_score,runup_from_2020,-0.2683393411306149,0.005982494708800774
aus_l4,runup_from_2020,1197,beta_eloundou,runup_from_2020,-0.2884354734416313,0.0032544679471111604
aus_l4,runup_from_2020,1197,anthropic_usage_score,runup_from_2020,-0.3088251614362485,0.0019282826206556726
aus_l4,wfh_teleworkable + rate_sens_rba,1176,(controls only),wfh_teleworkable,0.012014174025731855,0.6687562720153963
aus_l4,wfh_teleworkable + rate_sens_rba,1176,(controls only),rate_sens_rba,-0.15003182544588348,0.13291299277588503
aus_l4,wfh_teleworkable + rate_sens_rba,1176,ai_product_exposure_score,wfh_teleworkable,0.04322239622550352,0.1766267529846983
aus_l4,wfh_teleworkable + rate_sens_rba,1176,ai_product_exposure_score,rate_sens_rba,-0.1429372411784414,0.1449780899896852
aus_l4,wfh_teleworkable + rate_sens_rba,1176,felten_exposure_score,wfh_teleworkable,-0.10844055223708886,0.002815177868403389
aus_l4,wfh_teleworkable + rate_sens_rba,1176,felten_exposure_score,rate_sens_rba,-0.1219845213514971,0.2121380443935829
aus_l4,wfh_teleworkable + rate_sens_rba,1176,webb_exposure_score,wfh_teleworkable,0.0059739640392759905,0.8235520361774055
aus_l4,wfh_teleworkable + rate_sens_rba,1176,webb_exposure_score,rate_sens_rba,-0.14885650158722505,0.1282743149648483
aus_l4,wfh_teleworkable + rate_sens_rba,1176,beta_eloundou,wfh_teleworkable,0.0744093652226649,0.010045972214740111
aus_l4,wfh_teleworkable + rate_sens_rba,1176,beta_eloundou,rate_sens_rba,-0.1800111967103801,0.08976655639556676
aus_l4,wfh_teleworkable + rate_sens_rba,1176,anthropic_usage_score,wfh_teleworkable,0.058314244118392165,0.08044261001176273
aus_l4,wfh_teleworkable + rate_sens_rba,1176,anthropic_usage_score,rate_sens_rba,-0.15885826236331396,0.09877706587245762
aus_l4,wfh_teleworkable + runup_from_2019,1176,(controls only),wfh_teleworkable,-0.034962769717938116,0.21840298287347854
aus_l4,wfh_teleworkable + runup_from_2019,1176,(controls only),runup_from_2019,-0.15447603423865966,4.2788698949201305e-4
aus_l4,wfh_teleworkable + runup_from_2019,1176,ai_product_exposure_score,wfh_teleworkable,-0.0020666961418740054,0.9435518602051963
aus_l4,wfh_teleworkable + runup_from_2019,1176,ai_product_exposure_score,runup_from_2019,-0.16221046232303205,1.679444127120016e-4
aus_l4,wfh_teleworkable + runup_from_2019,1176,felten_exposure_score,wfh_teleworkable,-0.13901518279491448,0.0013075254979951862
aus_l4,wfh_teleworkable + runup_from_2019,1176,felten_exposure_score,runup_from_2019,-0.1433612405031702,4.381209553095684e-4
aus_l4,wfh_teleworkable + runup_from_2019,1176,webb_exposure_score,wfh_teleworkable,-0.03823769638986794,0.17081695916137868
aus_l4,wfh_teleworkable + runup_from_2019,1176,webb_exposure_score,runup_from_2019,-0.14959601315113685,6.44910476105627e-4
aus_l4,wfh_teleworkable + runup_from_2019,1176,beta_eloundou,wfh_teleworkable,0.039126718096376495,0.1092228989536164
aus_l4,wfh_teleworkable + runup_from_2019,1176,beta_eloundou,runup_from_2019,-0.16640065890242894,1.96978577854513e-4
aus_l4,wfh_teleworkable + runup_from_2019,1176,anthropic_usage_score,wfh_teleworkable,0.010156853511229497,0.7168844750368015
aus_l4,wfh_teleworkable + runup_from_2019,1176,anthropic_usage_score,runup_from_2019,-0.16795198393519936,1.303338604514266e-4
aus_l4,rate_sens_rba + runup_from_2019,1197,(controls only),rate_sens_rba,-0.2625687068363501,0.017483876845000582
aus_l4,rate_sens_rba + runup_from_2019,1197,(controls only),runup_from_2019,-0.18445486810622577,2.4552425532823534e-4
aus_l4,rate_sens_rba + runup_from_2019,1197,ai_product_exposure_score,rate_sens_rba,-0.21704593581680992,0.030496896030474084
aus_l4,rate_sens_rba + runup_from_2019,1197,ai_product_exposure_score,runup_from_2019,-0.20502506790903496,4.332025328610801e-5
aus_l4,rate_sens_rba + runup_from_2019,1197,felten_exposure_score,rate_sens_rba,-0.26722977802304515,0.013511727668271994
aus_l4,rate_sens_rba + runup_from_2019,1197,felten_exposure_score,runup_from_2019,-0.16863100673689418,5.6376395046966206e-5
aus_l4,rate_sens_rba + runup_from_2019,1197,webb_exposure_score,rate_sens_rba,-0.45860037673255705,0.003593312647022347
aus_l4,rate_sens_rba + runup_from_2019,1197,webb_exposure_score,runup_from_2019,-0.1520181050237381,0.001285338076618406
aus_l4,rate_sens_rba + runup_from_2019,1197,beta_eloundou,rate_sens_rba,-0.2673631142696982,0.020619820063716928
aus_l4,rate_sens_rba + runup_from_2019,1197,beta_eloundou,runup_from_2019,-0.21694952496611453,4.9615587697508e-5
aus_l4,rate_sens_rba + runup_from_2019,1197,anthropic_usage_score,rate_sens_rba,-0.25098307821892735,0.020848244477105166
aus_l4,rate_sens_rba + runup_from_2019,1197,anthropic_usage_score,runup_from_2019,-0.21636145815461916,8.053981656442449e-5
aus_l4,wfh_teleworkable + rate_sens_rba + runup_from_2019,1176,(controls only),wfh_teleworkable,-0.03222004380001884,0.249247740786142
aus_l4,wfh_teleworkable + rate_sens_rba + runup_from_2019,1176,(controls only),rate_sens_rba,-0.2532642183443711,0.026863950689854935
aus_l4,wfh_teleworkable + rate_sens_rba + runup_from_2019,1176,(controls only),runup_from_2019,-0.16091101231179344,4.4594900105589475e-4
aus_l4,wfh_teleworkable + rate_sens_rba + runup_from_2019,1176,ai_product_exposure_score,wfh_teleworkable,5.622455832506451e-4,0.9846793884110157
aus_l4,wfh_teleworkable + rate_sens_rba + runup_from_2019,1176,ai_product_exposure_score,rate_sens_rba,-0.25023487807821254,0.022441305534701417
aus_l4,wfh_teleworkable + rate_sens_rba + runup_from_2019,1176,ai_product_exposure_score,runup_from_2019,-0.16854943113546342,1.782539127513245e-4
aus_l4,wfh_teleworkable + rate_sens_rba + runup_from_2019,1176,felten_exposure_score,wfh_teleworkable,-0.134231014241616,0.0014155692161595286
aus_l4,wfh_teleworkable + rate_sens_rba + runup_from_2019,1176,felten_exposure_score,rate_sens_rba,-0.22127583032464476,0.04531725759906474
aus_l4,wfh_teleworkable + rate_sens_rba + runup_from_2019,1176,felten_exposure_score,runup_from_2019,-0.14923852182121516,4.445704736365401e-4
aus_l4,wfh_teleworkable + rate_sens_rba + runup_from_2019,1176,webb_exposure_score,wfh_teleworkable,-0.03548633387304904,0.19527619853690306
aus_l4,wfh_teleworkable + rate_sens_rba + runup_from_2019,1176,webb_exposure_score,rate_sens_rba,-0.24921972521835226,0.028348113382368225
aus_l4,wfh_teleworkable + rate_sens_rba + runup_from_2019,1176,webb_exposure_score,runup_from_2019,-0.15600636449785713,7.295208677720044e-4
aus_l4,wfh_teleworkable + rate_sens_rba + runup_from_2019,1176,beta_eloundou,wfh_teleworkable,0.04719777953148552,0.054569212514092295
aus_l4,wfh_teleworkable + rate_sens_rba + runup_from_2019,1176,beta_eloundou,rate_sens_rba,-0.30220733292976215,0.015600513631262353
aus_l4,wfh_teleworkable + rate_sens_rba + runup_from_2019,1176,beta_eloundou,runup_from_2019,-0.17485147376751184,2.284786155290176e-4
aus_l4,wfh_teleworkable + rate_sens_rba + runup_from_2019,1176,anthropic_usage_score,wfh_teleworkable,0.013330109363854294,0.6337932354737505
aus_l4,wfh_teleworkable + rate_sens_rba + runup_from_2019,1176,anthropic_usage_score,rate_sens_rba,-0.27167187984313634,0.0162647404162916
aus_l4,wfh_teleworkable + rate_sens_rba + runup_from_2019,1176,anthropic_usage_score,runup_from_2019,-0.17492371495739376,1.264471664114466e-4
