sample,control_set,n_obs,exposure,control,coef,p
eu_l3,wfh_teleworkable + rate_sens_rba,2331,(controls only),wfh_teleworkable,-0.13263635799576848,0.0018651170415721824
eu_l3,wfh_teleworkable + rate_sens_rba,2331,(controls only),rate_sens_rba,0.014266963359976736,0.7995751434801838
eu_l3,wfh_teleworkable + rate_sens_rba,2331,ai_product_exposure_score,wfh_teleworkable,-0.10531005420110903,0.005055412131695124
eu_l3,wfh_teleworkable + rate_sens_rba,2331,ai_product_exposure_score,rate_sens_rba,0.04447298298614624,0.45884827196278466
eu_l3,wfh_teleworkable + rate_sens_rba,2331,felten_exposure_score,wfh_teleworkable,0.0017128037626372196,0.9675431769133704
eu_l3,wfh_teleworkable + rate_sens_rba,2331,felten_exposure_score,rate_sens_rba,0.012514571883282685,0.8228211982443264
eu_l3,wfh_teleworkable + rate_sens_rba,2331,webb_exposure_score,wfh_teleworkable,-0.1344181792859325,0.001607310206405879
eu_l3,wfh_teleworkable + rate_sens_rba,2331,webb_exposure_score,rate_sens_rba,0.015645384062758033,0.7822434949202899
eu_l3,wfh_teleworkable + rate_sens_rba,2331,beta_eloundou,wfh_teleworkable,0.0418400714567849,0.3578667443660538
eu_l3,wfh_teleworkable + rate_sens_rba,2331,beta_eloundou,rate_sens_rba,0.04688723206799829,0.3997834089225992
eu_l3,wfh_teleworkable + rate_sens_rba,2331,anthropic_usage_score,wfh_teleworkable,-0.08857448720316043,0.03689266247663911
eu_l3,wfh_teleworkable + rate_sens_rba,2331,anthropic_usage_score,rate_sens_rba,0.01236639301445061,0.825439929763612
eu_l3,wfh_teleworkable + runup_from_2019_mix,2531,(controls only),wfh_teleworkable,-0.12672945921421136,7.058395066435601e-4
eu_l3,wfh_teleworkable + runup_from_2019_mix,2531,(controls only),runup_from_2019_mix,-0.6895970759404575,0.002517908377037208
eu_l3,wfh_teleworkable + runup_from_2019_mix,2531,ai_product_exposure_score,wfh_teleworkable,-0.1059645604223404,0.0016570884219190274
eu_l3,wfh_teleworkable + runup_from_2019_mix,2531,ai_product_exposure_score,runup_from_2019_mix,-0.6241312653262783,0.005483441225943907
eu_l3,wfh_teleworkable + runup_from_2019_mix,2531,felten_exposure_score,wfh_teleworkable,0.010233409637120574,0.8014511908973845
eu_l3,wfh_teleworkable + runup_from_2019_mix,2531,felten_exposure_score,runup_from_2019_mix,-0.6118984000420091,0.00528381613573588
eu_l3,wfh_teleworkable + runup_from_2019_mix,2531,webb_exposure_score,wfh_teleworkable,-0.12813455930269202,5.72046375037813e-4
eu_l3,wfh_teleworkable + runup_from_2019_mix,2531,webb_exposure_score,runup_from_2019_mix,-0.7047842745027962,0.002184337124850323
eu_l3,wfh_teleworkable + runup_from_2019_mix,2531,beta_eloundou,wfh_teleworkable,0.049949068547288006,0.2670102793329068
eu_l3,wfh_teleworkable + runup_from_2019_mix,2531,beta_eloundou,runup_from_2019_mix,-0.6316159365429304,0.004228007289709373
eu_l3,wfh_teleworkable + runup_from_2019_mix,2531,anthropic_usage_score,wfh_teleworkable,-0.08396990460467299,0.0255052749539693
eu_l3,wfh_teleworkable + runup_from_2019_mix,2531,anthropic_usage_score,runup_from_2019_mix,-0.6725520762706553,0.0032035309695909514
eu_l3,rate_sens_rba + runup_from_2019_mix,2133,(controls only),rate_sens_rba,-0.03901874428880955,0.40795614160093696
eu_l3,rate_sens_rba + runup_from_2019_mix,2133,(controls only),runup_from_2019_mix,-0.7989676239480099,5.290010659698918e-4
eu_l3,rate_sens_rba + runup_from_2019_mix,2133,ai_product_exposure_score,rate_sens_rba,0.03434725536731719,0.5222587710499822
