anzsco_4digit,anzsco_title,rs_surprise_h6,rs_surprise_h12,rs_surprise_h18,rs_placebo_h6,rs_placebo_h12,rs_placebo_h18,rs_broad_h6,rs_broad_h12,rs_broad_h18,rate_sens_rba,rate_sens_rba_broad
1111,Chief Executives and Managing Directors,0.6920809582831478,0.8324450271842689,0.8018321557507407,0.7938720893806193,0.9716562363064054,0.7676176754098658,0.3742347900234826,0.7532350593271411,0.47842219671782305,0.8324450271842689,0.7532350593271411
1112,General Managers,0.6717756433214109,0.8574702749956362,0.7507532786489385,0.6843386734213812,0.9146127564270173,0.6715364375626371,0.3745399712245317,0.7512608480343596,0.46936047385981566,0.8574702749956362,0.7512608480343596
1213,Livestock Farmers,0.5819494958248618,0.8468225481010708,0.7217975191063156,0.7055583845229143,0.9602355375588887,0.7063816881965979,0.38618639139809097,0.7418142868047571,0.45232710274295806,0.8468225481010708,0.7418142868047571
1214,Mixed Crop and Livestock Farmers,0.5267752668685346,0.7467105960353998,0.770555182558664,0.7132353792609674,0.9374998172113369,0.6844452472242875,0.39678617662117177,0.7581482175591273,0.4818059374649012,0.7467105960353998,0.7581482175591273
1311,Advertising and Sales Managers,0.6778127586870026,0.8390216508699654,0.7626496938016945,0.7263062318613576,0.9425514270023849,0.7001160307450273,0.3604260838944471,0.7169123036306938,0.46274215494402804,0.8390216508699654,0.7169123036306938
1321,Corporate Services Managers,0.6909754914032342,0.8218272811338435,0.7658277424936333,0.7329412787793288,0.9381577345608547,0.704348059176774,0.3796933065050882,0.7257096877769881,0.4488028804667625,0.8218272811338435,0.7257096877769881
1322,Finance Managers,0.6782574665906275,0.8461084663019406,0.7663092794655968,0.7171198761160352,0.9544467476418164,0.7116933213380982,0.357358558310976,0.7082018231380903,0.4367602212338605,0.8461084663019406,0.7082018231380903
1323,Human Resource Managers,0.673444733980811,0.8517919253700447,0.7788562833725491,0.7216751316588722,0.9550110479532217,0.7008489843313335,0.3340129605382407,0.702941864829641,0.46503580804672934,0.8517919253700447,0.702941864829641
1324,Policy and Planning Managers,0.6821055475640481,0.858749035734225,0.7965164666669521,0.7546517484624736,0.9506262732294967,0.7156057145501808,0.38042587389246074,0.7403246110291731,0.4729350666207856,0.858749035734225,0.7403246110291731
1325,Research and Development Managers,0.6992607939742964,0.8797688906271038,0.7606310290258177,0.6982235854232511,0.9183205560924352,0.6798406500783396,0.345809389483205,0.718421921126114,0.47732134286048233,0.8797688906271038,0.718421921126114
1331,Construction Managers,0.6870406104807761,0.8739296467820992,0.8132805561362714,0.7222033380304889,0.926084844411623,0.6764264009064702,0.35455917743284626,0.7008806062338736,0.43883754094941874,0.8739296467820992,0.7008806062338736
