sample,control_set,n_obs,n_occ,exposure,baseline,baseline_p,with_controls,with_controls_p,pct_attenuation
eu_l3,rate_sens_rba,2340,101,ai_product_exposure_score,-0.21030444230286577,8.434462716700007e-4,-0.20708236792044296,0.001866230563825791,1.5321000104137616
eu_l3,rate_sens_rba,2340,101,felten_exposure_score,-0.2198672628794333,0.001145524597569652,-0.2215475999744273,0.0017460271951093825,-0.7642506997121323
eu_l3,rate_sens_rba,2340,101,webb_exposure_score,-0.21163739812086033,9.676881152745937e-5,-0.21165289645997393,9.729031284268074e-5,-0.007323062583086681
eu_l3,rate_sens_rba,2340,101,beta_eloundou,-0.29613627741652165,1.7150207965464467e-4,-0.3079107170215784,2.1678356581743887e-4,-3.9760206712181168
eu_l3,rate_sens_rba,2340,101,anthropic_usage_score,-0.3319126010340462,7.778184078283474e-7,-0.3237489549901893,1.5663985193418769e-6,2.459577014679082
eu_l3,rate_sens_rba_broad,2642,115,ai_product_exposure_score,-0.2056999507175424,8.966880602917676e-4,-0.2053729408341762,9.607241262286758e-4,0.15897421570860715
eu_l3,rate_sens_rba_broad,2642,115,felten_exposure_score,-0.19647506664180112,0.0016599733139665827,-0.18519166708154627,0.0022502893163406632,5.742916774689744
eu_l3,rate_sens_rba_broad,2642,115,webb_exposure_score,-0.2146176985214949,4.792458951241038e-5,-0.19957364549396417,2.6728809024107813e-5,7.00969823605857
eu_l3,rate_sens_rba_broad,2642,115,beta_eloundou,-0.2739828934088024,2.6830946988838113e-4,-0.2666680667000321,2.427805087369571e-4,2.669811468067096
eu_l3,rate_sens_rba_broad,2642,115,anthropic_usage_score,-0.32337276447844066,1.7894506664648908e-6,-0.30298360858913553,2.5165045693537874e-6,6.305155575544608
eu_l3,wfh_teleworkable,2776,120,ai_product_exposure_score,-0.2111883285275104,7.639001025071203e-4,-0.12701508035687656,0.0071316522841987804,39.856960257947705
eu_l3,wfh_teleworkable,2776,120,felten_exposure_score,-0.21199449773951345,0.001036507709457118,-0.20788002017565593,0.012400414122174623,1.9408416764255643
eu_l3,wfh_teleworkable,2776,120,webb_exposure_score,-0.20473238820221748,6.598167672225463e-5,-0.20687480304637973,6.0777896347373465e-5,-1.046446467495965
eu_l3,wfh_teleworkable,2776,120,beta_eloundou,-0.2888186661280754,1.634482830193629e-4,-0.3331976963825144,8.238611851484846e-4,-15.365707088599079
eu_l3,wfh_teleworkable,2776,120,anthropic_usage_score,-0.33776741046083797,1.136526071766094e-6,-0.2272510085980283,8.413666502756879e-5,32.719675859795046
eu_l3,runup_from_2019,2451,121,ai_product_exposure_score,-0.2097306145879418,0.0012898552228335868,-0.2120125417092435,0.0014448211364623965,-1.088027671012659
eu_l3,runup_from_2019,2451,121,felten_exposure_score,-0.2310246850437663,3.669788640637167e-4,-0.23193663163778538,4.0004700698947123e-4,-0.3947398927722112
eu_l3,runup_from_2019,2451,121,webb_exposure_score,-0.23434465535342394,5.66125701011173e-5,-0.23431907817236175,5.575739073297613e-5,0.010914343671986071
eu_l3,runup_from_2019,2451,121,beta_eloundou,-0.3142071304202589,1.0492230575404358e-4,-0.315052912690494,1.1546740420238194e-4,-0.26917984614285295
eu_l3,runup_from_2019,2451,121,anthropic_usage_score,-0.35759125797818686,6.345557186708719e-7,-0.35983723388121414,1.2181790828877572e-6,-0.6280846785030381
eu_l3,runup_from_2020,2349,121,ai_product_exposure_score,-0.21108692425817324,0.001796825667067681,-0.21108970583558553,0.0019455460520632763,-0.001317740273143464
eu_l3,runup_from_2020,2349,121,felten_exposure_score,-0.21969667530986975,8.700840387454857e-4,-0.22869674194213116,5.972710761818969e-4,-4.096587542604979
eu_l3,runup_from_2020,2349,121,webb_exposure_score,-0.24656314885123903,2.54634331082227e-5,-0.24365392771994107,3.140332604161192e-5,1.1799091408640328
eu_l3,runup_from_2020,2349,121,beta_eloundou,-0.30617560499303353,2.460109395118275e-4,-0.31171851054202315,2.038288619252025e-4,-1.8103681216260714
eu_l3,runup_from_2020,2349,121,anthropic_usage_score,-0.3584285205141419,1.3810829552111563e-6,-0.35678009869083477,1.142857667172925e-6,0.45990252699271705
eu_l3,runup_from_2019_vac,2215,121,ai_product_exposure_score,-0.2369973543308937,4.6263254980270443e-4,-0.2402650449371333,4.380465167833489e-4,-1.37878779932592
eu_l3,runup_from_2019_vac,2215,121,felten_exposure_score,-0.25969620678358235,1.271381246878938e-4,-0.263019809206148,1.2292079934086864e-4,-1.2798039924146298
eu_l3,runup_from_2019_vac,2215,121,webb_exposure_score,-0.2456003446133807,1.1344380102187157e-4,-0.2465733820987016,1.3442460165066656e-4,-0.39618734527944177
eu_l3,runup_from_2019_vac,2215,121,beta_eloundou,-0.350318720629216,4.5165892016122776e-5,-0.354889963721316,4.65400002590752e-5,-1.304881190445517
eu_l3,runup_from_2019_vac,2215,121,anthropic_usage_score,-0.3889591596041405,1.9390306964923614e-7,-0.4003367445444368,3.450384330725048e-7,-2.9251361381682717
eu_l3,runup_from_2019_mix,2542,121,ai_product_exposure_score,-0.24005982756573443,4.715592054842873e-4,-0.17842091931719448,0.0032925713898345316,25.676477765386075
